ID,Gloss,Class,Portuguese_ort,Portuguese,Kriyol_ort,Kriyol_Mandinka,Kriyol_Balanta,Kriyol_Fula,Kriyol_Mandjaku,Mandinka,Balanta,Fula,Mandjaku
191,three,quant,três,ˈtɾeʃ,triss,ˈtɾejʃ,ˈtɾes,ˈtɾis,tɾis,sabaː,k͡sipɨ,ɗaˈɗi,ŋg'wãʧ
192,four,quant,quatro,ˈkwatɾu,quátro,ˈkwatɾu,ˈkwɐtɾu,ˈkwa:tɾu,kwatɾu,ɳaɳiː,taʒɭa,ˈnɐj,ŋg'bakɾ
193,five,quant,cinco,ˈsĩku,cincu,ˈsĩku,ˈsĩku,ˈsĩku,sĩku,lulu,t͡ʃifɨ,ˈd͡ʒoj,kãɲa
194,night,time,noite,ˈnojtɨ,noti,ˈnojti,ˈnojtɨ,di'nojti,nɔti,suːtoː,kamaʁa,ˈd͡ʒɛm:ɐ,bɾm
195,day,time,dia,ˈdiɐ,dia,ˈdiɐ,ˈdiɐ,di'diɐ,dja,tiːloː,kijdu,ɲaˈlɔɾmɐ,unu
196,year,time,ano,ˈɐnu   ,anu,ˈanu,ˈanu,ˈanu,anu,saŋʝoː,ʁɛsɛ,ˈʜitãⁿde,wanu
197,rope,tool,corda,ˈkɔɾ.dɐ,korda,ˈkoɾdɐ,ˈkɔɾdɐ,ˈkɔɾdɐ,kɔɾda,duːloː,kebosɨ,ˈɓɔɠoɭ,p'ʧaɾ
198,give,transfer,dar,ˈdaɾ,da,ˈda,ˈda,ˈda,da,diːna,ɲana,ˈd͡ʒɐn:uɠoɭ,p'wal
199,hold,transfer,segurar,sɨ.ɣuˈɾaɾ  ,sugura / pega-pega,ˈpega/ suguˈɾa,ˈpegɐ,ˈpɛgɐ,pɛga,abambaŋ,taki,ˈnãguɠoɭ,p'mɔb
200,squeeze,transfer,espremer,iʃpɾɨmeɾ ,pirmi,ˈpɾimi,ˈpeɾmi,piɾˈmi,piɾmi,amoandi,botɨ,ˈʜamuɠoɭ / ˈʜamaɠoɭ,p'põɲ
201,rub,transfer,esfregar,iʃ.fɾɨˈɣaɾ     ,ferga,,ˈfɛɾgɐ,ˈfɛɾga,fɛɾga,,infeti,ˈɓɔsaɠoɭ,p'fɛɾgaɾ
202,wash,transfer,lavar,lɐˈvaɾ,laba,laˈba,ˈlabɐ,la'ba,laba,kuːɾoː,wasa,ˈɭɔtaɠoɭ,p'ɲa'wa
203,wipe,transfer,limpar,lĩˈpaɾ,limpa,lĩˈpa,ˈlĩpɐ,ˈlĩpa,lĩpa,fitaɾoː /afita,bata,ˈlaʡɓĩɠoɭ,p'ɲaw
204,pull,transfer,puxar,puˈʃaɾ,puxa / djunda,dʒũˈda,ˈɟũdɐ,ˈd͡ʒũda,ʤũda,asaba,buɭ,'poɾuɠoɭ,p'tɔt
205,push,transfer,empurrar,ẽpuˈʀaɾ,mpura,pĩˈtʃa,ˈpĩt͡ʃɐ,ˈpĩt͡ʃa,pĩʧa,adiɾɐ,ẽbuɭfutɨ,'duɲuɠoɭ,p'pĩb
206,throw,transfer,lançar,lɐ̃ˈsaɾ,lansa,mãˈdɐ,ˈmɐ̃da,ˈfɛɾt͡ʃa,fɛɾʧa,abuŋ,safɨ,'wɛɗuɠoɭ/'wɛɗaɠoɭ,p'tap
207,tie,transfer,amarrar,ɐmɐˈʀaɾ,mara,ˈmaɾɐ,ˈmaɾɐ,ˈmaɾa,maɾa,sitiɾoː,ɦal,ˈʜaɓaɠoɭ,p'tãŋ
